    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2018/11/16,08:33:48
MCA Data File,okumura_Cs.asc
Comment,
Date,2018/11/16,08:23:11
Live Time,300,Real Time,487,Preset time,300,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
 726,    1463
 727,    1491
 728,    1529
 729,    1515
 730,    1514
 731,    1498
 732,    1487
 733,    1498
 734,    1500
 735,    1549
 736,    1483
 737,    1478
 738,    1483
 739,    1430
 740,    1524
 741,    1427
 742,    1506
 743,    1542
 744,    1446
 745,    1556
 746,    1532
 747,    1503
 748,    1516
 749,    1525
 750,    1541
 751,    1574
 752,    1541
 753,    1519
 754,    1607
 755,    1580
 756,    1569
 757,    1564
 758,    1515
 759,    1627
 760,    1556
 761,    1565
 762,    1568
 763,    1612
 764,    1590
 765,    1560
 766,    1619
 767,    1691
 768,    1593
 769,    1610
 770,    1664
 771,    1652
 772,    1657
 773,    1662
 774,    1719
 775,    1717
 776,    1667
 777,    1725
 778,    1676
 779,    1721
 780,    1752
 781,    1804
 782,    1698
 783,    1773
 784,    1722
 785,    1742
 786,    1730
 787,    1777
 788,    1791
 789,    1838
 790,    1805
 791,    1778
 792,    1812
 793,    1713
 794,    1829
 795,    1843
 796,    1894
 797,    1899
 798,    1828
 799,    1859
 800,    1864
 801,    1931
 802,    1858
 803,    1940
 804,    1936
 805,    1977
 806,    1973
 807,    1972
 808,    1918
 809,    2007
 810,    1933
 811,    1990
 812,    1923
 813,    1951
 814,    1932
 815,    2062
 816,    1972
 817,    1966
 818,    2113
 819,    1977
 820,    1952
 821,    2009
 822,    1966
 823,    2031
 824,    2050
 825,    2110
 826,    1987
 827,    2081
 828,    2084
 829,    2094
 830,    2090
 831,    2048
 832,    2103
 833,    2079
 834,    2053
 835,    2050
 836,    2111
 837,    2144
 838,    2074
 839,    2058
 840,    2095
 841,    2107
 842,    2101
 843,    2057
 844,    2038
 845,    2072
 846,    2135
 847,    2147
 848,    2087
 849,    2175
 850,    2137
 851,    2161
 852,    2194
